"WATERSHED_CODE","GAZETTED_NAME","ALIAS_NAME","WATERBODY_IDENTIFIER","REGION","ORDER_50","MAGNITUDE_50","WATERBODY_TYPE","RAB_WATERSHED_CODE","WATERBODY_ID","MAP_NUMBER","UTM_ZONE","UTM_EASTING","UTM_NORTHING","STREAM_LENGTH","LAKE_PERIMETER","LAKE_AREA","LAKE_ELEVATION"
"160-274600-26400",,"LAKE #12752","01660QUES","Cariboo",,,"Lake",,"47970","093B09","10","566903","5825416",,"1","7.6","1003"
"170-246000-55300",,"LAKE DO","00170EUCH","Cariboo",,,"Lake",,"53464","093F08","10","428788","5920501",,"2.1","19.4","1076"
"170-246000-55300",,"LAKE FEE","00231EUCH","Cariboo",,,"Lake",,"53466","093F08","10","428749","5919474",,".9","5.5","1079"
"170-246000-80000-50700",,"LAKE #11","00867EUCH","Cariboo",,,"Lake",,"53562","093F08","10","410155","5907410",,"2.4","36.6","1151"
"170-246000-80000-50700",,"LAKE #10","00933EUCH","Cariboo",,,"Lake",,"53563","093F08","10","411481","5906511",,"2.9","49.5","1161"
"170-246000-80000-89000",,"LAKE #12","00840EUCH","Cariboo",,,"Lake",,"53592","093F08","10","402350","5908436",,"4.2","52.9","1165"
"170-293300",,"LAKE #1","00603BLAR","Cariboo",,,"Lake",,"53686","093G04","10","464514","5892982",,"1.4","3.6","808"
"170-293300",,"LAKE #2","00622BLAR","Cariboo",,,"Lake",,"53687","093G04","10","464041","5892762",,"3.3","17.9","813"
"170-310600",,"LAKE #3","00749BLAR","Cariboo",,,"Lake",,"53731","093G04","10","462899","5890275",,"1.1","4","814"
"170-310600",,"LAKE #4","00806BLAR","Cariboo",,,"Lake",,"53730","093G04","10","462302","5889489",,"1.3","5.4","813"
"170-518700",,"LAKE #7","00419BLAR","Cariboo",,,"Lake",,"55900","093F01","10","419756","5897012",,"4.5","69.2","1064"
"170-518700-31500",,"LAKE #5","00510BLAR","Cariboo",,,"Lake",,"55906","093F01","10","419816","5895234",,"2","21.3","1043"
"170-534100",,"LAKE #35","01206BLAR","Cariboo",,,"Lake",,"55934","093F01","10","420962","5883033",,"3.6","43.5","1097"
"170-550900-11500",,"LAKE #6","00102EUCL","Cariboo",,,"Lake",,"55955","093F01","10","416524","5894744",,"2.4","25.6","1046"
"170-550900-44300",,"LAKE #9","00033EUCL","Cariboo",,,"Lake",,"55966","093F01","10","411691","5898700",,"1.8","20.8","1108"
"170-550900-93800",,"LAKE #13","00003EUCL","Cariboo",,,"Lake",,"55982","093F08","10","404664","5901885",,"2","18.3","1212"
"170-559700",,"LAKE #15","00161EUCL","Cariboo",,,"Lake",,"55991","093F01","10","404213","5891502",,"2.3","21.7","1194"
"170-559700-82300",,"LAKE #14","00146EUCL","Cariboo",,,"Lake",,"56000","093F01","10","403478","5892014",,"1.5","14","1207"
"170-598600-04200-19600",,"LAKE #33","00350EUCL","Cariboo",,,"Lake",,"56036","093F01","10","409917","5884643",,"3.8","52.8","1058"
"170-598600-04200-33500",,"LAKE #31","00536EUCL","Cariboo",,,"Lake",,"56040","093F01","10","406980","5880869",,"2.2","24.5","1087"
"170-598600-04200-33500-4170",,"#26, LAKE #32, UNNAMED LAKE #26","00473EUCL","Cariboo",,,"Lake",,"56045","093F01","10","408020","5881735",,"2.6","34.6","1133"
