"WATERSHED_CODE","GAZETTED_NAME","ALIAS_NAME","WATERBODY_IDENTIFIER","REGION","ORDER_50","MAGNITUDE_50","WATERBODY_TYPE","RAB_WATERSHED_CODE","WATERBODY_ID","MAP_NUMBER","UTM_ZONE","UTM_EASTING","UTM_NORTHING","STREAM_LENGTH","LAKE_PERIMETER","LAKE_AREA","LAKE_ELEVATION"
"100-115100","SCHKAM LAKE","LAKE OF THE WOODS","00600FRCN","Lower Mainland",,,"Lake",,"2201","092H06","10","612475","5474154",,"1.7","15.9","162"
"100-170100","HANNAH LAKE","LAKE #8005","00190FRCN","Thompson",,,"Lake",,"2704","092I04","10","595295","5540541",,"5.8","64.6","300"
"100-170100","FRANCES LAKE","LAKE #8006","00196FRCN","Thompson",,,"Lake",,"2703","092I04","10","596741","5540467",,"2.2","23.6","298"
"100-170100","NAHATLATCH LAKE","LAKE #8004","00199FRCN","Thompson",,,"Lake",,"2705","092I04","10","592103","5540290",,"16.6","303.4","300"
"100-171600-87500","FISHBLUE LAKE","BLUE LAKE, FISH LAKE, LAKE #8003","00208FRCN","Thompson",,,"Lake",,"2959","092H14","10","607927","5539203",,"1.4","7.1","383"
"100-212900",,"LAKE #3225, LALUWISSIN LAKE, RUDDOCK LAKE","00893SETN","Thompson",,,"Lake",,"3459","092I05","10","597037","5589392",,"1.1","5.9","1098"
"100-235900","SETON LAKE","LAKE #3120","00533SETN","Thompson",,,"Lake",,"3702","092I12","10","572260","5613565",,"52.2","2474.8",
"100-235900","ANDERSON LAKE","LAKE #3140","00571SETN","Thompson",,,"Lake",,"3703","092J09","10","549261","5616986",,"48.8","2871.6","263"
"100-235900-05000","DUFFEY LAKE","LAKE #3245","00976SETN","Thompson",,,"Lake",,"3708","092J08","10","551273","5585487",,"13.8","351.5","1121"
"100-235900-99100","GATES LAKE","LAKE #7000","00860SETN","Thompson",,,"Lake",,"4157","092J07","10","527657","5592113",,"4.3","62.7","484"
"100-235900-99100-22900","BLACKWATER LAKE","LAKE #7001","00768SETN","Lower Mainland",,,"Lake",,"4201","092J10","10","529644","5600872",,"1.7","15.1","731"
"100-241900-16600-19500-3840","SERPENTINE LAKE","LAKE #3042","00222SETN","Thompson",,,"Lake",,"4341","092J16","10","543699","5641015",,"1.4","8.3","1913"
"100-241900-16600-24900","LAKE LA MARE","3041","00203SETN","Thompson",,,"Lake",,"4355","092J16","10","548265","5643454",,".6","1.8","1204"
"100-241900-48300-21600","TYAUGHTON LAKE","LAKE #3050, TYAX LAKE","00192SETN","Thompson",,,"Lake",,"4771","092J15","10","517007","5644575",,"7.7","89.7","1006"
"100-241900-48300-65400","SPRUCE LAKE","LAKE #3027, SPRUCE HILL LAKE","00110SETN","Thompson",,,"Lake",,"5050","092O02","10","501808","5651697",,"3.5","39.6","1566"
"100-241900-53800","MOWSON POND","LAKE #3053","00245SETN","Thompson",,,"Lake",,"5170","092J15","10","517464","5639629",,"2.6","23.3","789"
"100-241900-55400-03400","PEARSON POND","LAKE #3052","00240SETN","Thompson",,,"Lake",,"5180","092J15","10","515266","5639713",,"1.6","9.4","828"
"100-241900-55400-05500","LAJOIE LAKE","LAKE #3087, LITTLE GUN LAKE","00356SETN","Thompson",,,"Lake",,"5184","092J15","10","507009","5631914",,"2.9","41.2","907"
"100-241900-59200","SUCKER LAKE","LAKE #3088","00350SETN","Thompson",,,"Lake",,"5338","092J15","10","512825","5632683",,"1.1","6","958"
"100-241900-59200-45800","KINGDOM LAKE","LAKE #3068","00402SETN","Thompson",,,"Lake",,"5345","092J15","10","514330","5628375",,"2.4","13.8","1293"
"100-241900-59200-45800-5240","MEAD LAKE","LAKE #3151","00421SETN","Thompson",,,"Lake",,"5348","092J15","10","514379","5626915",,"1","5.7","1318"
"100-241900-63900","GWYNETH LAKE","LAKE #3189","00420SETN","Thompson",,,"Lake",,"5518","092J15","10","508860","5626960",,"2.9","24.9","1161"
"100-258600",,"LAKE #3033",,"Thompson",,,"Lake",,"5811","092I13",,,,,,,
"100-258600-38301","PAVILION LAKE","LAKE #3033","01171BBAR","Thompson",,,"Lake",,"674301",,"10","587325","5637844",,"12.5","216.7","805"
"100-291200","LITTLE BIG BAR LAKE","LAKE #5117","00840BBAR","Thompson",,,"Lake",,"6232","092P05","10","574995","5689616",,"3.7","39.3","1050"
"100-317400-47900","WHITE LAKE","LAKE #5128, WHITE L.","00556BBAR","Thompson",,,"Lake",,"6682","092P05","10","576659","5694588",,"7.8","106.2","1035"
"100-317400-47900-94300",,"LAKE #5293","00492BBAR","Thompson",,,"Lake",,"6744","092P05","10","584307","5695564",,".4","1","1103"
"100-317400-47900-99400-0160","POLLARD LAKE","LAKE #5146, POLLARD L.","00880BBAR","Thompson",,,"Lake",,"6789","092P05","10","595835","5688721",,"1.6","10","1079"
"100-317400-47900-99400-0160",,"LAKE# 5145","00909BBAR","Thompson",,,"Lake",,"6793","092P05","10","596964","5687924",,".6","1.8","1082"
"100-317400-47900-99400-0160-3500",,"5148, LAKE 5148","00867BBAR","Thompson",,,"Lake",,"674384",,"10","594735","5689307",,"1.8","8","1082"
"100-329500-33200-48300",,"LAKE 5565","00458DOGC","Cariboo",,,"Lake",,"7596","092P12","10","578155","5711570",,"1.6","5.8","1101"
"100-363500","LAKE WILKES",,"00634MFRA","Cariboo",,,"Lake",,"8191","093B02","10","534079","5764113",,"1.5","7.4","980"
"100-363500","LAKE LYE",,"00691MFRA","Cariboo",,,"Lake",,"8187","093B01","10","535571","5762402",,"5.2","46.9","977"
"100-363500","LAKE BLAKE",,"00734MFRA","Cariboo",,,"Lake",,"8183","093B01","10","537451","5761809",,"1","4.9","971"
"100-363500","LAKE GREER",,"00766MFRA","Cariboo",,,"Lake",,"8175","092O16","10","538603","5760449",,"1.4","8","952"
"100-363500-75500-04400","LAKE JACKSON",,"00756MFRA","Cariboo",,,"Lake",,"8216","092O16","10","537021","5761127",,"1","3.9","965"
"100-380400-19400-45600-7590","LAKE HALL",,"00550MFRA","Cariboo",,,"Lake",,"8455","093B01","10","535863","5765906",,".5","1.3","985"
"100-385000-98600-22500-6790",,"LAKE #337, LITTLE JONES","00779SAJR","Cariboo",,,"Lake",,"8703","093A04","10","585394","5768745",,"1.8","17.5","964"
"100-385000-98600-98900","LAKE OF THE TREES",,"01567SAJR","Cariboo",,,"Lake",,"8975","092P14","10","624638","5743190",,"5.1","86.5","851"
"100-481100-07300-38000",,"LAKE #1851","00842COTR","Omineca",,,"Lake",,"11029","093G01","10","549499","5897324",,"3","33.4","917"
"100-593800-42800-85400-1550",,"LAKE AC9","00052MUSK","Omineca",,,"Lake",,"14584","093J12","10","467409","6063413",,"5","57.9","882"
"110-036900","LAKE ERROCK","ERROCK LAKE, SKAWKUM LAKE, SQUAKUM LAKE, SQUAWKUM LAKE","00371HARR","Lower Mainland",,,"Lake",,"22046","092G01","10","572444","5453784",,"2.9","21.8","20"
"120","KAMLOOPS LAKE","LAKE #170","00293THOM","Thompson",,,"Lake",,"23826","092I15","10","650470","5625135",,"87.4","5516.8","334"
"120-246600","DOUGLAS LAKE","LAKE #2524","00416NICL","Thompson",,,"Lake",,"23988","092I01","10","694051","5557765",,"17","659.8","802"
"120-246600","NICOLA LAKE","LAKE # 2515","00578LNIC","Thompson",,,"Lake",,"23986","092I02","10","666804","5559417",,"51","2509.4","637"
"120-246600-11500-09000",,"LAKE #2026","00327LNIC","Thompson",,,"Lake",,"24047","092I06","10","630697","5580595",,"1.6","3.5","1342"
"120-246600-11500-39300-3020-7218",,"LAKE #2028","00281LNIC","Thompson",,,"Lake",,"520905","092I07","10","642756","5582127",,"1","3.4","1579"
"120-246600-11500-58900","CHATAWAY LAKE","LAKE #2030","00254LNIC","Thompson",,,"Lake",,"24098","092I07","10","648439","5581986",,"2.5","21.9","1409"
"120-246600-11500-58900-2570",,"LAKE #2036","00422LNIC","Thompson",,,"Lake",,"24102","092I07","10","648105","5577428",,".9","2.9","1297"
"120-246600-11500-58900-2570",,"LAKE #2035","00425LNIC","Thompson",,,"Lake",,"24101","092I07","10","647910","5577269",,".9","3.8","1300"
"120-246600-11500-58900-7060","ROSCOE LAKE","LAKE #2019","00168LNIC","Thompson",,,"Lake",,"24107","092I07","10","645324","5585204",,"3.7","35.5","1589"
"120-246600-11500-58900-7060-4640",,"LAKE #2012","00108LNIC","Thompson",,,"Lake",,"24113","092I07","10","645693","5586096",,"1.5","10.6","1578"
"120-246600-16300-34300","ABBOTT LAKE","LAKE # 2065","00521LNIC","Thompson",,,"Lake",,"24172","092I06","10","642309","5572178",,"1.5","12.2","1487"
"120-246600-23400-53000-5100-4640",,"JONO LAKE, LAKE #2245, LAKE 2245","01354LNIC","Thompson",,,"Lake",,"24317","092H14","10","640973","5514024",,"1.4","10","1405"
"120-246600-28500","STUMBLES LAKES","LAKE #2070","00626LNIC","Thompson",,,"Lake",,"24386","092I02","10","646486","5565208",,".8","3.3","1441"
"120-246600-29600-09700","MORGAN LAKE","LAKE #2075","00826GUIC","Thompson",,,"Lake",,"24421","092I02","10","657595","5565056",,".7","3.5","1334"
"120-246600-29600-19700",,"LAKE #2067, LITTLE TYNER LAKE","00743GUIC","Thompson",,,"Lake",,"24476","092I07","10","648074","5572425",,".9","5.7","1330"
"120-246600-29600-19700-8130",,"LAKE #2039","00706GUIC","Thompson",,,"Lake",,"24488","092I07","10","646643","5573961",,"1","4.3","1344"
"120-246600-29600-25300","DOT LAKE","LAKE #2031","00619GUIC","Thompson",,,"Lake",,"24491","092I07","10","650219","5580810",,"3.8","37.9","1423"
"120-246600-29600-25300-4490",,"LAKE #2034","00657GUIC","Thompson",,,"Lake",,"24494","092I07","10","650999","5578789",,"1.2","5.2","1444"
"120-246600-29600-32000","DANISH LAKE","LAKE #2046","00676GUIC","Thompson",,,"Lake",,"24503","092I07","10","658586","5576902",,".8","3.4","1550"
"120-246600-29600-32400","COUGAR LAKE","LAKE #2032","00626GUIC","Thompson",,,"Lake",,"24506","092I07","10","653459","5580341",,"1.4","5","1173"
"120-246600-29600-32400-4810","GYPSUM LAKE","LAKE #2033","00642GUIC","Thompson",,,"Lake",,"24509","092I07","10","651687","5579781",,"2.4","14","1458"
"120-246600-29600-38700-5580","EVE LAKE","LAKE #2047","00675GUIC","Thompson",,,"Lake",,"24525","092I07","10","661159","5577215",,"1","6.3",
"120-246600-29600-40000-0350",,"LAKE #2024","00592GUIC","Thompson",,,"Lake",,"674861","092I07","10","659308","5584314",,".1",".1","1428"
"120-246600-29600-43200-3290","BILLY LAKE","LAKE #2013","00533GUIC","Thompson",,,"Lake",,"24545","092I07","10","648800","5585872",,"3.6","25.2",
"120-246600-29600-43200-3290","ANTLER LAKE","LAKE #2027","00597GUIC","Thompson",,,"Lake",,"24544","092I07","10","651900","5583829",,"2.5","16.1","1358"
"120-246600-29600-47500",,"LAKE #2023, QUENVILLE LAKE","00539GUIC","Thompson",,,"Lake",,"24568","092I07","10","662382","5587074",,"1.3","6.9",
"120-246600-29600-47500-2910",,"LAKE #2022","00549GUIC","Thompson",,,"Lake",,"674883","092I07","10","658039","5586975",,".9","3.4","1295"
"120-246600-29600-51100",,"LAKE #1161","00458GUIC","Thompson",,,"Lake",,"24588","092I07","10","659857","5590469",,".3",".5","1369"
"120-246600-29600-57200","LAC LE JEUNE","LAKE #560","00269GUIC","Thompson",,,"Lake",,"24610","092I07","10","676760","5594379",,"10","163.2","1276"
"120-246600-29600-57200-0960","COUSINEAU LAKE","LAKE #1163","00405GUIC","Thompson",,,"Lake",,"24615","092I07","10","660107","5591698",,"1.2","6.5","1315"
"120-246600-29600-57200-2840-0960",,"LAKE #1166","00361GUIC","Thompson",,,"Lake",,"24630","092I07","10","661392","5593447",,"1.1","4.3","1269"
"120-246600-29600-57200-3720","PASKA LAKE","LAKE #592","00158GUIC","Thompson",,,"Lake",,"24637","092I10","10","665877","5599391",,"4.3","47.2","1451"
"120-246600-29600-57200-3720-6620",,"LAKE #496","00079GUIC","Thompson",,,"Lake",,"674911","092I10","10","664541","5604113",,"1.3","11.8","1607"
"120-246600-29600-57200-3720-6620-384","WYSE LAKES","LAKE #2","00138GUIC","Thompson",,,"Lake",,"24654","092I10","10","664641","5600870",,"1.2","6.4","1490"
"120-246600-29600-57200-6240","DESMOND LAKE","LAKE #521","00490GUIC","Thompson",,,"Lake",,"24697","092I07","10","669137","5589210",,"2.3","20.6","1318"
"120-246600-29600-57200-7960","LODGEPOLE LAKE","LAKE #568","00169GUIC","Thompson",,,"Lake",,"24715","092I10","10","675828","5598919",,"1.3","7","1408"
"120-246600-29600-57200-8570","STAKE LAKE","LAKE #334","00170GUIC","Thompson",,,"Lake",,"24728","092I09","10","678610","5598917",,"2.6","21.6","1320"
"120-246600-29600-57200-8570-1760","SHAMBROOK LAKE","LAKE #1174","00257GUIC","Thompson",,,"Lake",,"24730","092I07","10","676973","5595513",,"2.3","13.2","1295"
"120-246600-29600-59700","LOGAN LAKE","LAKE #569","00250GUIC","Thompson",,,"Lake",,"24747","092I07","10","655211","5595895",,"1.6","8.8","1098"
"120-246600-29600-61600","ANDREW LAKE","JUDD, LAKE#1060","00106GUIC","Thompson",,,"Lake",,"24753","092I10","10","663510","5603378",,"1.6","10.5","1557"
"120-246600-29600-61600-6800",,"LAKE #1059","00157GUIC","Thompson",,,"Lake",,"24760","092I10","10","660240","5600189",,"1.1","8.2","1458"
"120-246600-29600-61700",,"LAKE #1160","00311GUIC","Thompson",,,"Lake",,"24767","092I07","10","652219","5595037",,"1.2","6.1","1141"
"120-246600-29600-64100-2930",,"LAKE #628, SPUD LAKE","00315GUIC","Thompson",,,"Lake",,"24787","092I07","10","645047","5595049",,"1.7","11.6","1452"
"120-246600-29600-65600-5810",,"LAKE #1058","00217GUIC","Thompson",,,"Lake",,"674961","092I10","10","647831","5597353",,".7","3.7","1357"
"120-246600-33700-04700","GARCIA LAKE","LAKE #2510","00901LNIC","Thompson",,,"Lake",,"24906","092I02","10","666542","5547897",,"2","18.3","1052"
"120-246600-33700-04700-5330","MARQUART LAKE","LAKE #2117","00848LNIC","Thompson",,,"Lake",,"24919","092I02","10","668030","5549878",,"2.2","22.1",
"120-246600-33700-28800-5340","LILY LAKE","LAKE #2114","00978LNIC","Thompson",,,"Lake",,"24972","092I02","10","647694","5543875",,"2.1","9.5","1151"
"120-246600-33700-40000","GILLIS LAKE","LAKE #2172","01165LNIC","Thompson",,,"Lake",,"24981","092H15","10","646684","5531626",,"2.3","19","1155"
"120-246600-33700-41300-5070","EDNA LAKE","LAKE # 2508","00995LNIC","Thompson",,,"Lake",,"25004","092I02","10","662536","5542865",,"1.7","10.3","1250"
"120-246600-33700-41300-6500","SHEA LAKE","LAKE #2183","01209LNIC","Thompson",,,"Lake",,"25020","092H15","10","662181","5530219",,"1.6","15.1","1042"
"120-246600-33700-41300-7100","MENZIES LAKE","LAKE #2122","01003LNIC","Thompson",,,"Lake",,"25035","092I02","10","668225","5542754",,"1","3.6","1175"
"120-246600-33700-41300-7100","CHICKEN RANCH LAKE","LAKE #2176","01037LNIC","Thompson",,,"Lake",,"25034","092H15","10","667670","5540742",,"1.1","7.2","1127"
"120-246600-33700-41300-7100",,"EAST SECOND LAKE, LAKE #2175, UPPER SECOND LAKE","01046LNIC","Thompson",,,"Lake",,"25033","092H15","10","666918","5540162",,"2.5","13.2","1125"
"120-246600-33700-41300-7100","ENGLISHMEN LAKE","LAKE #2509","01120LNIC","Thompson",,,"Lake",,"25029","092H15","10","663909","5535872",,"1.1","3.1","1085"
"120-246600-33700-41300-7100-3210",,"LAKE NO.1, LITTLE HARMON","01112LNIC","Thompson",,,"Lake",,"377402","092H15","10","664679","5537005",,".6","2.1","1110"
"120-246600-33700-41300-7100-4330","HARMON LAKE","LAKE #2179","01097LNIC","Thompson",,,"Lake",,"25040","092H15","10","664382","5537513",,"3.2","27","1112"
"120-246600-33700-91500",,"LAKE #2292, LITTLE DOUGLAS LAKE","01412LNIC","Thompson",,,"Lake",,"520976",,"10","636724","5499314",,"1.3","7.3","1310"
"120-246600-37700","LUNDBOM LAKE","LAKE #2116","00813LNIC","Thompson",,,"Lake",,"25151","092I02","10","670159","5551152",,"4","49.4","1123"
"120-246600-46100-20700","DARTT LAKE","LAKE #2073","00520LNIC","Thompson",,,"Lake",,"25243","092I07","10","665394","5572609",,".9","4.5","1573"
"120-246600-46100-75200","BOB LAKE","LAKE #2051","00360LNIC","Thompson",,,"Lake",,"25280","092I07","10","671723","5579779",,"2.9","33.6",
"120-246600-51000","MARSH LAKE","LAKE #2208","01509NICL","Thompson",,,"Lake",,"25301","092H16","10","702424","5541128",,"1.9","14.3","1409"
"120-246600-51000","ISLAND LAKE","LAKE #2202","01855NICL","Thompson",,,"Lake",,"25305","092H16","10","694495","5533544",,"4","41.6","1498"
"120-246600-51000","PARADISE LAKE","LAKE #2204","01900NICL","Thompson",,,"Lake",,"25304","092H16","10","695898","5533364",,"5.1","117.4","1500"
"120-246600-51000-17900","LAKE OF THE WOODS",,"01166NICL","Thompson",,,"Lake",,"25360","092I01","10","681440","5545405",,"2.1","11.4","1157"
"120-246600-51000-29500","CORBETT LAKE","LAKE #2516;GARCIA","01317NICL","Thompson",,,"Lake",,"25405","092I02","10","670777","5543393",,"2.5","23.7",
"120-246600-51000-29500","COURTNEY LAKE","LAKE #2517","01441NICL","Thompson",,,"Lake",,"25404","092H15","10","672336","5541189",,"4.5","72.7","1005"
"120-246600-51000-34100","BOOT LAKE","LAKE #2200","01801NICL","Thompson",,,"Lake",,"25440","092H16","10","690592","5534491",,"3.6","29","1481"
"120-246600-51000-52500",,"LAKE #2149","00956NICL","Thompson",,,"Lake",,"25527","092I01","10","704027","5548648",,"1","4.4","1270"
"120-246600-51000-52500",,"LAKE #2257","00974NICL","Thompson",,,"Lake",,"25526","092I01","10","703382","5548494",,".9","2.5","1260"
"120-246600-51000-52500",,"LAKE 2518, STONEY LAKE","01343NICL","Thompson",,,"Lake",,"25520","092I01","10","686049","5543207",,"5.7","50.3","1081"
"120-246600-51000-52500-6750",,"LAKE #2254","01121NICL","Thompson",,,"Lake",,"25622","092I01","10","699435","5546081",,".8","2.6","1265"
"120-246600-51000-52500-6750",,"LAKE #2255","01250NICL","Thompson",,,"Lake",,"25623","092I01","10","701128","5544588",,"1","5.1","1395"
"120-246600-51000-52500-8810",,"LAKE #2157","01045NICL","Thompson",,,"Lake",,"25634","092I01","10","703935","5547580",,".1","0","1310"
"120-246600-51000-52500-8810",,"LAKE #2259","01112NICL","Thompson",,,"Lake",,"25635","092I01","10","704649","5546231",,"1.2","6.2","1372"
"120-246600-51000-52500-8810-5540",,"LAKE #2260","01038NICL","Thompson",,,"Lake",,"25638","092I01","10","705138","5547346",,"1.1","5.2","1364"
"120-246600-51000-52500-8810-5540",,"LAKE #2150","01057NICL","Thompson",,,"Lake",,"25637","092I01","10","704773","5547227",,".2",".3","1359"
"120-246600-51000-78100","STEER LAKE","LAKE #2516","01535NICL","Thompson",,,"Lake",,"25673","092H16","10","703283","5540808",,"1.2","9.6","1410"
"120-246600-51000-86500","WALKER LAKE","LAKE #2210","01935NICL","Thompson",,,"Lake",,"25695","092H16","10","702215","5532633",,"2.3","24.5","1543"
"120-246600-51000-89400","RESERVOIR LAKE","LAKE #2206","01902NICL","Thompson",,,"Lake",,"25699","092H16","10","700616","5533568",,"4","56.2","1534"
"120-246600-51000-92500","SKUNK LAKE","LAKE #2205","01903NICL","Thompson",,,"Lake",,"25715","092H16","10","699638","5533533",,"3.5","40.4","1529"
"120-246600-51000-98000-3400","AND ANOTHER LAKE","LAKE #2238","01992NICL","Thompson",,,"Lake",,"25731","092H16","10","698655","5530248",,".7","3.7","1610"
"120-246600-51000-98000-3400","ANOTHER LAKE","LAKE #2237","01995NICL","Thompson",,,"Lake",,"25730","092H16","10","698427","5530253",,"1.5","7.8","1608"
"120-246600-51000-99600","BOBS LAKE","HOWLONG, LAKE #2203","01916NICL","Thompson",,,"Lake",,"25736","092H16","10","693473","5533253",,"1.8","5.1","1502"
"120-246600-53600","ROSS MOORE LAKE","LAKE #299","00010LNIC","Thompson",,,"Lake",,"25771","092I08","10","683179","5592932",,"3.4","43.6","1281"
"120-246600-53600-40400","FROGMOORE LAKES","EAST FROGMOORE LAKE, LAKE #535","00145LNIC","Thompson",,,"Lake",,"25783","092I07","10","675408","5584763",,"4.3","44.7",
"120-246600-53600-40400","FROGMOORE LAKES","FROGMOORE (MIDDLE), LAKE #580, MID FROGMOORE LAKE, MIDDLE FROGMOORE LAKE","00148LNIC","Thompson",,,"Lake",,"25784","092I07","10","673785","5585821",,"4.5","39.9",
"120-246600-53600-40400",,"LAKE #1710","00201LNIC","Thompson",,,"Lake",,"25782","092I07","10","677137","5583914",,"1.5","10.1","1399"
"120-246600-53600-40400-3360",,"LAKE #1170, LITTLE MILDRED","00083LNIC","Thompson",,,"Lake",,"25790","092I07","10","677416","5587239",,".9","5.5","1480"
"120-246600-53600-40400-3360","MILDRED LAKE","LAKE #581","00099LNIC","Thompson",,,"Lake",,"25789","092I07","10","677400","5586423",,"2.8","31.3","1462"
"120-246600-53600-40400-6850",,"LAKE #1169","00107LNIC","Thompson",,,"Lake",,"25793","092I07","10","675227","5586519",,".6","2.7","1453"
"120-246600-53700","STUMP LAKE","LAKE #342","00190LNIC","Thompson",,,"Lake",,"25821","092I08","10","684642","5578804",,"19.9","709","743"
"120-246600-53700",,"LAKE #1142","00369LNIC","Thompson",,,"Lake",,"25824","092I08","10","699917","5580032",,"1.6","9.3","1336"
"120-246600-53700-23700","PETER HOPE LAKE","LAKE #2054","00460LNIC","Thompson",,,"Lake",,"25856","092I08","10","690432","5575703",,"6.1","115.9","1095"
"120-246600-53700-96700",,"LAKE #1152","00376LNIC","Thompson",,,"Lake",,"333185","092I08","10","700342","5579728",,"1","4.3","1366"
"120-246600-60000",,"LAKE #2084, LITTLE BLUE, LK# 2084","00070NICL","Thompson",,,"Lake",,"26086","092I08","10","697390","5572939",,"1.2","8.1","1271"
"120-246600-60000","GLIMPSE LAKE","JACKS, LAKE #2086","00119NICL","Thompson",,,"Lake",,"26084","092I01","10","694210","5569064",,"7.3","93.5",
"120-246600-60000-17500",,"LAKE #2082","00054NICL","Thompson",,,"Lake",,"26094","092I08","10","689136","5573353",,"1.2","4.5","1144"
"120-246600-64900","PENNASK LAKE","LAKE #4575","01156NICL","Thompson",,,"Lake",,"26168","092I01","10","706316","5545712",,"38.1","942.2","1426"
"120-246600-64900-72100",,"LAKE #2151, LITTLE SPAHOMIN LAKE","00985NICL","Thompson",,,"Lake",,"26208","092I01","10","706711","5548394",,"1.1","4.7","1349"
"120-246600-64900-84400","LITTLE PENNASK LAKE","LAKE #4520","01194NICL","Thompson",,,"Lake",,"333072","092I01","10","706596","5544734",,"1.6","6.9","1427"
"120-246600-64900-86700","ROUSE LAKE","LAKE #4518","01340NICL","Thompson",,,"Lake",,"26215","092I01","10","708418","5543342",,"2.9","30","1421"
"120-246600-64900-89900-3150",,"LAKE #2158","01241NICL","Thompson",,,"Lake",,"675123","092I01","10","703471","5544857",,"1.4","7.4","1409"
"120-246600-64900-93500","NEVEU LAKE","LAKE #4579","01483NICL","Thompson",,,"Lake",,"26227","092H16","10","704087","5541540",,"2.7","32.5","1426"
"120-246600-64900-94600","PETERSON LAKE","LAKE #4585","01506NICL","Thompson",,,"Lake",,"26229","092H16","10","708665","5541263",,"2.9","30.4","1429"
"120-246600-64900-95100-7290","HIDDEN LAKE","LAKE #4592","02015NICL","Thompson",,,"Lake",,"26247","092H16","10","708766","5528906",,"1.2","8.8","1711"
"120-246600-64900-95100-7630","BRENDA LAKE","LAKE #4591","01982NICL","Thompson",,,"Lake",,"26249","092H16","10","712449","5529875",,"2.6","19.6","1710"
"120-246600-69100-63000",,"LAKE# 2087","00234NICL","Thompson",,,"Lake",,"26367","092I01","10","696774","5566228",,"1.1","5","1099"
"120-246600-70400",,"LAKE #2055, LITTLE DARDANELLES, RANGE LAKE","00004NICL","Thompson",,,"Lake",,"26402","092I08","10","703836","5580881",,"2.1","18.8","1246"
"120-246600-70400-21300",,"LAKE #2056","00017NICL","Thompson",,,"Lake",,"26413","092I08","10","702142","5577369",,".9","5.1","1201"
"120-246600-70400-45800",,"LAKE# 2088","00050NICL","Thompson",,,"Lake",,"26448","092I08","10","704921","5573522",,"1.7","8.6","1136"
"120-246600-70400-45800",,"LAKE# 2089","00058NICL","Thompson",,,"Lake",,"26450","092I08","10","704397","5573444",,"1.1","3.5","1137"
"120-246600-70400-48800",,"LAKE #2090","00064NICL","Thompson",,,"Lake",,"26454","092I08","10","707074","5572702",,"1.1","3.9","1034"
"120-246600-73600","MELLIN LAKE","LAKE #2146","00813NICL","Thompson",,,"Lake",,"26583","092I01","10","711818","5551095",,"6","50.9","1422"
"120-246600-73600-56000",,"LAKE #2154","01014NICL","Thompson",,,"Lake",,"26599","092I01","10","708307","5548046",,".7","2.3","1377"
"120-246600-73600-56000","JACKSON LAKE","LAKE #2161","01137NICL","Thompson",,,"Lake",,"26600","092I01","10","708067","5545947",,"2.9","20.3","1438"
"120-246600-73600-56000-2790",,"LAKE #2262","00874NICL","Thompson",,,"Lake",,"675204","092I01","10","708689","5549995",,".4",".9","1348"
"120-246600-73600-56000-2790",,"LAKE #2153, LAKE 2153","00889NICL","Thompson",,,"Lake",,"675205",,"10","708530","5549814",,".8","3.4","1347"
"120-246600-81000",,"LAKE #4540, STUART LAKE","00613NICL","Thompson",,,"Lake",,"26624","092I01","10","713745","5554154",,".9","2.4","1312"
"120-246600-81200-67000",,"DOUG LAKE, LAKE #4534","00522NICL","Thompson",,,"Lake",,"26652","082L04","11","297163","5556045",,".9","4.5","1495"
"120-246600-83100","ROCK LAKE","LAKE #4516","01036NICL","Thompson",,,"Lake",,"26670","092I01","10","713423","5547541",,"5.7","64.6","1446"
"120-246600-86400","HATHEUME LAKE","LAKE #4576","01445NICL","Thompson",,,"Lake",,"26693","092H16","10","711922","5542360",,"5.8","105.7","1414"
"120-246600-86400","ELLEN LAKE","LAKE #4577","01451NICL","Thompson",,,"Lake",,"26692","092H16","10","714006","5541208",,"2.9","26","1396"
"120-246600-86400-61400","RAT LAKE","LAKE #4519","01380NICL","Thompson",,,"Lake",,"26735","092H16","10","713324","5542756",,"2.4","28","1397"
"120-246600-86400-79900","PINNACLE LAKE","LAKE #4580","01553NICL","Thompson",,,"Lake",,"26739","092H16","10","711619","5540043",,"1.6","10.5","1430"
"120-246600-87700-37100","RAYMER LAKE","LAKE #4601","01419NICL","Thompson",,,"Lake",,"26753","082E13","11","293807","5542282",,"1.6","14.5","1416"
"120-246600-87700-37100","CAMERON LAKE","CAMEO, LAKE #4606","01500NICL","Thompson",,,"Lake",,"26754","082E13","11","294700","5540301",,"3.4","30.1","1430"
"120-246600-87700-37100-9410-5020","PORCUPINE LAKE","LAKE #4605","01472NICL","Thompson",,,"Lake",,"26761","082E13","11","296329","5540872",,"1.6","6.7","1551"
"120-277100","PIMAINUS LAKES","LAKE #2009, PIMAINUS LAKE (3)","00956THOM","Thompson",,,"Lake",,"26814","092I06","10","635022","5585038",,"4.6","53.3","1533"
"120-299100","CALLING LAKE","LAKE #2004","00920THOM","Thompson",,,"Lake",,"26848","092I06","10","634152","5591698",,"3.2","25","1564"
"120-299100-70800","BIG O.K. LAKE","ISLAND LAKE, LAKE #2002","00907THOM","Thompson",,,"Lake",,"26856","092I06","10","632967","5593231",,"3.8","39.7","1506"
"120-299100-70800-73700","LITTLE O.K. LAKE","LAKE #2003","00912THOM","Thompson",,,"Lake",,"26858","092I06","10","634285","5593498",,"1.2","8.5","1552"
